ORIGID,CountyName,PopulationCensus16,TimeStamp,ConfirmedCovidCases
23,Waterford,116176,2020/03/10  ,0
24,Westmeath,88770,2020/03/10  ,0
25,Wexford,149722,2020/03/10  ,0
26,Wicklow,142425,2020/03/10  ,3
1,Carlow,56932,2020/03/11  ,0
2,Cavan,76176,2020/03/11  ,0
3,Clare,118817,2020/03/11  ,4
4,Cork,542868,2020/03/11  ,16
5,Donegal,159192,2020/03/11  ,0
6,Dublin,1347359,2020/03/11  ,10
7,Galway,258058,2020/03/11  ,6
8,Kerry,147707,2020/03/11  ,2
9,Kildare,222504,2020/03/11  ,1
10,Kilkenny,99232,2020/03/11  ,0
11,Laois,84697,2020/03/11  ,0
12,Leitrim,32044,2020/03/11  ,0
13,Limerick,194899,2020/03/11  ,0
14,Longford,40873,2020/03/11  ,0
15,Louth,128884,2020/03/11  ,2
16,Mayo,130507,2020/03/11  ,0
17,Meath,195044,2020/03/11  ,2
18,Monaghan,61386,2020/03/11  ,0
19,Offaly,77961,2020/03/11  ,0
20,Roscommon,64544,2020/03/11  ,0
21,Sligo,65535,2020/03/11  ,0
22,Tipperary,159553,2020/03/11  ,2
23,Waterford,116176,2020/03/11  ,1
24,Westmeath,88770,2020/03/11  ,0
25,Wexford,149722,2020/03/11  ,0
26,Wicklow,142425,2020/03/11  ,3
1,Carlow,56932,2020/03/12  ,1
2,Cavan,76176,2020/03/12  ,0
3,Clare,118817,2020/03/12  ,5
4,Cork,542868,2020/03/12  ,18
5,Donegal,159192,2020/03/12  ,0
6,Dublin,1347359,2020/03/12  ,31
7,Galway,258058,2020/03/12  ,6
8,Kerry,147707,2020/03/12  ,3
9,Kildare,222504,2020/03/12  ,1
10,Kilkenny,99232,2020/03/12  ,0
11,Laois,84697,2020/03/12  ,0
12,Leitrim,32044,2020/03/12  ,0
13,Limerick,194899,2020/03/12  ,1
14,Longford,40873,2020/03/12  ,1
15,Louth,128884,2020/03/12  ,2
16,Mayo,130507,2020/03/12  ,0
17,Meath,195044,2020/03/12  ,2
18,Monaghan,61386,2020/03/12  ,0
19,Offaly,77961,2020/03/12  ,0
20,Roscommon,64544,2020/03/12  ,0
21,Sligo,65535,2020/03/12  ,0
22,Tipperary,159553,2020/03/12  ,2
23,Waterford,116176,2020/03/12  ,1
24,Westmeath,88770,2020/03/12  ,0
25,Wexford,149722,2020/03/12  ,0
26,Wicklow,142425,2020/03/12  ,4
1,Carlow,56932,2020/03/13  ,2
2,Cavan,76176,2020/03/13  ,0
3,Clare,118817,2020/03/13  ,5
4,Cork,542868,2020/03/13  ,25
5,Donegal,159192,2020/03/13  ,1
6,Dublin,1347359,2020/03/13  ,39
7,Galway,258058,2020/03/13  ,8
8,Kerry,147707,2020/03/13  ,3
